Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]-"	"417-600-7"	"82576-75-8"	"234"	"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]-"	"82576-75-8"	"417-600-7"	"Hair dye substance in oxidative hair dye products"	""	"0.25 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.25 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]-"	"417-600-7"	"82576-75-8"	"234"	"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]-"	"82576-75-8"	"417-600-7"	"Hair dye substance in non-oxidative hair dye products"	""	"0.28 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"&#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"197"	"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"60372-77-2"	"434-630-6"	"Soap"	""	"0.8 %"	""	"For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product"	""	""	""	"For use as a preservative, see Annex V, No 58"	
"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"197"	"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"60372-77-2"	"434-630-6"	"Non-spray deodorants"	""	"0.8 %"	""	"For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product"	""	""	""	"For use as a preservative, see Annex V, No 58"	
"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"434-630-6"	"60372-77-2"	"197"	"Ethyl-N-alpha-dodecanoyl-L-arginate hydrochloride"	"60372-77-2"	"434-630-6"	"Shampoos"	"Anti-dandruff"	"0.8 %"	""	"For purposes other than inhibiting the development of micro-organisms in the productThis purpose has to be apparent from the presentation of the product"	""	""	""	"For use as a preservative, see Annex V, No 58"	
"Eucalyptus globulus extract"	"308-257-3"	"97926-40-4"	"355"	"Eucalyptus globulus extract"	"97926-40-4"	"308-257-3"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Eucalyptus Globulus Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Eucalyptus globulus oil"	"616-775-9"	"8000-48-4"	"355"	"Eucalyptus globulus oil"	"8000-48-4"	"616-775-9"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Eucalyptus Globulus Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Eugenia caryophyllus extract"	"284-638-7"	"84961-50-2"	"356"	"Eugenia caryophyllus extract"	"84961-50-2"	"284-638-7"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Eucalyptus Caryophyllus Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Eugenia caryophyllus oil"	"616-772-2"	"8000-34-8"	"356"	"Eugenia caryophyllus oil"	"8000-34-8"	"616-772-2"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Eucalyptus Caryophyllus Oil&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Fatty acid dialkanolamides"	"-"	"-"	"60"	"Fatty acid dialkanolamides"	""	""	"All cosmetic products"	""	"0.5 %"	""	"Not to be used with nitrosating systemsMaximum secondary amine content: 5 % (applies to raw materials)Maximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers"	"Maximum secondary amine content"	""	""	""	
"Fatty acid dialkylamides"	"-"	"-"	"60"	"Fatty acid dialkylamides"	""	""	"All cosmetic products"	""	"0.5 %"	""	"Not to be used with nitrosating systemsMaximum secondary amine content: 5 % (applies to raw materials)Maximum nitrosamine content: 50 μg/kgKeep in nitrite-free containers"	"Maximum secondary amine content"	""	""	""	
"FD+C Yellow No. 5 Aluminum Lake"	"235-428-9"	"12225-21-7"	"189"	"FD&amp;C Yellow No. 5 Aluminum Lake"	"12225-21-7"	"235-428-9"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	""	""	""	""	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"gamma-Terpinene;p-Mentha-1,4-diene"	"202-794-6"	"99-85-4"	"132"	"gamma-Terpinenep-Mentha-1,4-diene"	"99-85-4"	"202-794-6"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Glyoxal"	"203-474-9"	"107-22-2"	"194"	"Glyoxal"	"107-22-2"	"203-474-9"	"All cosmetic products"	""	"100 mg/kg"	""	""	""	""	""	""	
"HC Blue No 11"	"459-980-7"	"910463-51-3"	"220"	"HC Blue No 11"	"910463-51-3"	"459-980-7"	"Hair dye substance in non-oxidative hair dye products"	""	"2 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"Hexadecyl ammonium fluoride"	"221-588-7"	"3151-59-5"	"36"	"Hexadecyl ammonium fluoride"	"3151-59-5"	"221-588-7"	"Oral products"	""	"0.15 %"	""	"When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15 %"	""	"As F"	"Contains Cetylamine hydrofluoride. For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15 % calculated as F unless it is already labelled as contraindicated for children (e.g. &#39;for adult use only&#39;) the following labelling is obligatory: &#39;Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.&#39; case of intake of fluoride from other sources consult a dentist or doctor.&#39;"	""	
"Hexyl 2-hydroxybenzoate"	"228-408-6"	"6259-76-3"	"380"	"Hexyl 2-hydroxybenzoate"	"6259-76-3"	"228-408-6"	"Hydroalcoholic-based fragrances"	""	"2 %"	""	"Excludes hydroalcoholic-based fragrances intended for children below 3 years of ageNot to be used in preparations for children under 3 years of age"	""	""	""	""	
"Hexyl 2-hydroxybenzoate"	"228-408-6"	"6259-76-3"	"380"	"Hexyl 2-hydroxybenzoate"	"6259-76-3"	"228-408-6"	"Leave-on products"	""	"0.3 %"	""	"Excludes hair conditioner, body lotion, face cream, hand cream, lipstick/lip balm and fragrance products intended for children below 3 years of ageNot to be used in preparations for children under 3 years of age"	""	""	""	""	
"Hexyl 2-hydroxybenzoate"	"228-408-6"	"6259-76-3"	"380"	"Hexyl 2-hydroxybenzoate"	"6259-76-3"	"228-408-6"	"Shower gel/bath products, hand wash, shampoo, hair conditioner, body, face and hand (skin) care products, lipstick/lip balm and fragrance products intended for children below 3 years of age"	""	"0.1 %"	""	""	""	""	""	""	
"Hexyl 2-hydroxybenzoate"	"228-408-6"	"6259-76-3"	"380"	"Hexyl 2-hydroxybenzoate"	"6259-76-3"	"228-408-6"	"Rinse-off products"	""	"0.5 %"	""	"Excludes shower gel/bath products, hand wash, hair conditioner and shampoo intended for children below 3 years of ageNot to be used in preparations for children under 3 years of age"	""	""	""	""	
"Hexyl 2-hydroxybenzoate"	"228-408-6"	"6259-76-3"	"380"	"Hexyl 2-hydroxybenzoate"	"6259-76-3"	"228-408-6"	"Toothpaste"	""	"0.001 %"	""	""	""	""	""	""	
"Hexyl 2-hydroxybenzoate"	"228-408-6"	"6259-76-3"	"380"	"Hexyl 2-hydroxybenzoate"	"6259-76-3"	"228-408-6"	"Mouthwash"	""	"0.001 %"	""	"Not to be used in preparations for children under 3 years of age"	""	""	""	""	
"Hydrogen peroxide"	"231-765-0"	"7722-84-1"	"12"	"Hydrogen peroxide"	"7722-84-1"	"231-765-0"	"Tooth whitening or bleaching products"	""	"6 %"	"0.1 %"	"To be only sold to dental practitionersFor each cycle of use, first use by dental practitioners as defined under Directive 2005/36/EC of the European Parliament and of the Council (Directive 2005/36/EC of the European Parliament and of the Council of 7 September 2005 on the recognition of professional qualifications (OJ L 255, 30.9.2005, p. 22)) or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of useNot to be used on a person under 18 years of age"	""	"As H2O2, present or released"	"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them. Concentration of H2O2 present or released indicated in percentage. Not to be used on a person under 18 years of age. To be only sold to dental practitioners. For each cycle of use, the first use to be only done by dental practitioners or under their direct supervision if an equivalent level of safety is ensured. Afterwards to be provided to the consumer to complete the cycle of use."	""	
"Hydrogen peroxide"	"231-765-0"	"7722-84-1"	"12"	"Hydrogen peroxide"	"7722-84-1"	"231-765-0"	"Professional use cosmetic products for eyelashes"	""	"2 %"	""	"For professional use only"	""	"As H2O2, present or released"	"Wear suitable gloves. To be printed on the label: &#39;&#39;For professional use only. Avoid contact with eyes. Rinse eyes immediately if product comes into contact with them. Contains hydrogen peroxide.&#39;&#39;"	""	
"Hydrogen peroxide"	"231-765-0"	"7722-84-1"	"12"	"Hydrogen peroxide"	"7722-84-1"	"231-765-0"	"Hair products"	""	"12 %"	""	""	""	"As H2O2 (40 volumes), present or released"	"Wear suitable gloves. Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them."	""	
"Hydrogen peroxide"	"231-765-0"	"7722-84-1"	"12"	"Hydrogen peroxide"	"7722-84-1"	"231-765-0"	"Oral products (including mouth rinse, tooth paste and tooth whitening or bleaching products)"	""	"0.1 %"	""	""	""	"As H2O2, present or released"	""	""	
"Hydrogen peroxide"	"231-765-0"	"7722-84-1"	"12"	"Hydrogen peroxide"	"7722-84-1"	"231-765-0"	"Skin products"	""	"4 %"	""	""	""	"As H2O2, present or released"	"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them."	""	
"Hydrogen peroxide"	"231-765-0"	"7722-84-1"	"12"	"Hydrogen peroxide"	"7722-84-1"	"231-765-0"	"Products for hardening nails"	""	"2 %"	""	""	""	"As H2O2, present or released"	"Contains hydrogen peroxide. Avoid contact with eyes. Rinse immediately if product comes into contact with them."	""	
"Hydrogenated Peanut Oil"	"270-350-9"	"68425-36-5"	"306"	"Hydrogenated Peanut Oil"	"68425-36-5"	"270-350-9"	"All cosmetic products"	""	""	""	"Maximum concentration of peanut proteins is 0.5 ppm"	""	""	""	"From 25 September 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing peanut oil, extracts and derivatives and not complying with that restriction shall not be made available on the Union market"	
"Hydrolyzed wheat protein"	"615-058-8"	"70084-87-6"	"307"	"Hydrolyzed wheat protein"	"70084-87-6"	""	"All cosmetic products"	""	""	""	"Maximum molecular weight average of the peptides in hydrolysates is 3.5 kDa"	""	""	""	"From 25 September 2018 cosmetic products containing hydrolyzed wheat proteins and not complying with that restriction shall not be placed on the Union marketFrom 25 December 2018 cosmetic products containing hydrolyzed wheat proteins and not complying with that restriction shall not be made available on the Union market"	
"Hydroquinone"	"204-617-8"	"123-31-9"	"14"	"Hydroquinone"	"123-31-9"	"204-617-8"	"Professional use artificial nail systems"	""	"0.02 %"	""	"For professional use only"	"After mixing for use"	""	"For professional use only. Avoid skin contact. Read directions for use carefully."	""	
"Hydroquinone methylether;Mequinol"	"205-769-8"	"150-76-5"	"95"	"Hydroquinone methyletherMequinol"	"150-76-5"	"205-769-8"	"Professional use artificial nail systems"	""	"0.02 %"	""	"For professional use only"	"After mixing for use"	""	"For professional use only. Avoid skin contact. Read directions for use carefully."	""	
"Hydroxyapatite"	"215-145-7"	"1306-06-5"	"372"	"Hydroxyapatite"	"1306-06-5"	"215-145-7"	"Toothpaste"	""	"10 %"	""	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - [composed of] rod-shaped particles of which at least 95.8 % (in particle number) have an aspect ratio less than 3, and the remaining 4.2 % have an aspect ratio not exceeding 4.9 - the particles are not coated or surface modified"	""	""	""	"From 1 February 2025 cosmetic products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 1 November 2025 cosmetic products containing that substance and not complying with the restrictions shall not be made available on the Union market"	
